feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
outdoors,Attention_T2B,2.5103041985768737,206,1288,***,0.00042350720339850794,0.2629461484352931,64.24041133540372,66.7507155339806,multiple_testing_risk,OU,LATAM
outdoors,Persuasion_T2B,1.1311580571971347,206,1288,ns,0.07649315290817495,0.12450967761070424,61.8914972826087,63.02265533980583,multiple_testing_risk,OU,LATAM
outdoors,Likeability_Love_Like_T2B,3.502686639178676,206,1288,***,3.337291843775454e-05,0.30794083496091773,63.19314588509317,66.69583252427185,multiple_testing_risk,OU,LATAM
outdoors,SCD_score,5.307755552100551,196,1247,**,0.007330351213989651,0.21049613602804765,49.13127506014435,54.4390306122449,multiple_testing_risk,OU,LATAM
color_spectrum,Attention_T2B,2.3595166978302773,1307,187,***,0.0005551177630892807,0.24674360620527772,62.52236203208557,64.88187872991584,multiple_testing_risk,OU,LATAM
color_spectrum,Persuasion_T2B,2.5174807077480765,1307,187,***,6.986640970082101e-05,0.2855396048541192,59.84509251336899,62.36257322111707,multiple_testing_risk,OU,LATAM
color_spectrum,Likeability_Love_Like_T2B,4.276047723283516,1307,187,***,3.696044232315732e-06,0.3769885759729776,59.9352871657754,64.21133488905892,multiple_testing_risk,OU,LATAM
color_spectrum,SCD_score,9.246847840008781,1271,172,***,4.945206501554138e-06,0.37427351735903364,41.707558139534875,50.95440597954366,multiple_testing_risk,OU,LATAM
tone,Attention_T2B,1.482245179001218,499,995,**,0.003676949070702415,0.15326474743639276,64.09147045226132,65.57371563126253,multiple_testing_risk,OU,LATAM
tone,Persuasion_T2B,0.15617975226834835,499,995,ns,0.66566062012852,0.017325012540043983,61.995302412060305,62.151482164328655,multiple_testing_risk,OU,LATAM
tone,Likeability_Love_Like_T2B,1.7107217603045122,499,995,**,0.004588807265099356,0.1496270605782173,63.10472773869348,64.81544949899799,multiple_testing_risk,OU,LATAM
tone,SCD_score,1.6109236841529762,470,973,ns,0.2525909551029233,0.06388401262725545,49.32752312435766,50.93844680851064,multiple_testing_risk,OU,LATAM
products,Attention_T2B,0.4441061788986289,462,1032,ns,0.27824934332754514,0.0453648598785234,64.44921027131782,64.89331645021646,multiple_testing_risk,OU,LATAM
products,Persuasion_T2B,0.9750225309574145,462,1032,ns,0.056536273133068776,0.10895791304949556,61.74595387596899,62.72097640692641,multiple_testing_risk,OU,LATAM
products,Likeability_Love_Like_T2B,0.7784866530756052,462,1032,ns,0.24261782240723162,0.06815843139594317,63.4353765503876,64.2138632034632,multiple_testing_risk,OU,LATAM
products,SCD_score,4.052081366654697,448,995,**,0.005871402195466628,0.16092443707329837,48.59419095477387,52.64627232142857,multiple_testing_risk,OU,LATAM
occasions,Attention_T2B,3.148782051066934,261,1233,***,2.3099822097031596e-07,0.33358745891927294,64.03645587996756,67.1852379310345,multiple_testing_risk,OU,LATAM
occasions,Persuasion_T2B,0.3303656151243173,261,1233,ns,0.837576157177541,0.03803899322826016,61.98975239253852,62.32011800766284,multiple_testing_risk,OU,LATAM
occasions,Likeability_Love_Like_T2B,4.009216875017485,261,1233,***,5.718179858450033e-07,0.3641856737514317,62.97570802919707,66.98492490421457,multiple_testing_risk,OU,LATAM
occasions,SCD_score,7.187587258739375,248,1195,***,5.237136008745071e-05,0.2895366618923938,48.61692887029288,55.80451612903226,multiple_testing_risk,OU,LATAM
passion_point,Attention_T2B,2.5904052266192967,419,1075,***,7.348248734795653e-07,0.27033859061456006,63.8600518139535,66.4504570405728,multiple_testing_risk,OU,LATAM
passion_point,Persuasion_T2B,0.8288015210079269,419,1075,ns,0.09215291255930745,0.09268316300474841,61.815025209302334,62.64382673031026,multiple_testing_risk,OU,LATAM
passion_point,Likeability_Love_Like_T2B,2.8212368323250248,419,1075,***,4.1714831339915346e-05,0.2501887708263924,62.884882976744194,65.70611980906922,multiple_testing_risk,OU,LATAM
passion_point,SCD_score,5.5143013904261515,406,1037,***,0.0002608013165342333,0.21982933572391763,48.30072324011572,53.81502463054188,multiple_testing_risk,OU,LATAM
intrinsic_elements,Attention_T2B,0.3195193429729737,377,1117,ns,0.44476551387778906,0.03284073818342062,64.50591593554162,64.8254352785146,multiple_testing_risk,OU,LATAM
intrinsic_elements,Persuasion_T2B,1.0193282444687646,377,1117,*,0.03343352260879343,0.11529027391549389,61.79024682184423,62.809575066312995,multiple_testing_risk,OU,LATAM
intrinsic_elements,Likeability_Love_Like_T2B,1.0920667228674685,377,1117,ns,0.13815091989733613,0.09654001359173074,63.40053831692033,64.4926050397878,multiple_testing_risk,OU,LATAM
intrinsic_elements,SCD_score,2.601120822426112,365,1078,ns,0.09982517427331662,0.10455313675808997,49.19427643784787,51.79539726027398,multiple_testing_risk,OU,LATAM
